1.231534,1.553919,3.848475,4.101210,5.361778
0.990493,1.339559,3.733684,3.992179,5.274668
1.048374,1.375834,3.731887,3.989678,5.270459
1.071856,1.377110,3.704530,3.962641,5.245907
1.126442,1.402329,3.679185,3.937014,5.221068
1.165886,1.410069,3.630919,3.888988,5.176580
1.204802,1.417434,3.569181,3.827392,5.119091
1.245732,1.440827,3.533729,3.791185,5.082980
1.251286,1.449780,3.524955,3.781594,5.071548
1.233717,1.445995,3.528102,3.784138,5.072024
1.229193,1.454338,3.538620,3.793749,5.078341
1.222653,1.458867,3.542760,3.797171,5.079396
1.211145,1.457446,3.540116,3.794035,5.074919
1.214438,1.468818,3.542588,3.795666,5.073987
1.211902,1.475150,3.542370,3.794767,5.071108
1.200930,1.474428,3.538865,3.790798,5.065927
1.203266,1.485914,3.542073,3.793190,5.065771
1.199649,1.492373,3.542672,3.793129,5.063732
1.188032,1.491965,3.539495,3.789505,5.058923
1.190244,1.503779,3.542594,3.791808,5.058736
1.186674,1.510637,3.542898,3.791471,5.056488
1.175078,1.510663,3.539426,3.787570,5.051466
1.177352,1.522773,3.542292,3.789662,5.051135
1.173777,1.529932,3.542417,3.789166,5.048793
1.162131,1.530285,3.538787,3.785125,5.043695
1.164464,1.542592,3.541495,3.787081,5.043298
1.160946,1.549964,3.541455,3.786442,5.040881
1.149340,1.550556,3.537657,3.782254,5.035706
1.151820,1.562967,3.540201,3.784070,5.035243
1.148435,1.570453,3.540001,3.783295,5.032765
1.136933,1.571184,3.536051,3.778977,5.027533
1.139617,1.583596,3.538451,3.780675,5.027030
1.136417,1.591095,3.538114,3.779788,5.024519
1.125073,1.591862,3.534034,3.775365,5.019260
1.128007,1.604177,3.536315,3.776970,5.018746
1.125038,1.611589,3.535867,3.775997,5.016231
1.113894,1.612296,3.531683,3.771496,5.010975
1.117110,1.624424,3.533873,3.773037,5.010482
1.114400,1.631663,3.533341,3.772008,5.007994
1.103480,1.632225,3.529081,3.767457,5.002772
1.106995,1.644091,3.531207,3.768964,5.002329
1.104558,1.651085,3.530619,3.767907,4.999899
1.093877,1.651433,3.526311,3.763335,4.994740
1.097695,1.662979,3.528400,3.764833,4.994374
1.095534,1.669675,3.527782,3.763775,4.992027
1.085093,1.669758,3.523449,3.759205,4.986955
1.089207,1.680945,3.525525,3.760719,4.986690
1.087315,1.687305,3.524899,3.759681,4.984447
1.077107,1.687088,3.520563,3.755136,4.979482
1.081505,1.697891,3.522645,3.756684,4.979334
1.079868,1.703895,3.522029,3.755684,4.977211
1.069882,1.703358,3.517706,3.751179,4.972367
1.074544,1.713768,3.519809,3.752776,4.972348
1.073146,1.719406,3.519218,3.751827,4.970355
1.063366,1.718541,3.514920,3.747374,4.965642
1.068273,1.728560,3.517057,3.749031,4.965759
1.067094,1.733834,3.516499,3.748142,4.963903
1.057504,1.732642,3.512237,3.743749,4.959324
1.062633,1.742278,3.514413,3.745472,4.959581
1.061654,1.747197,3.513897,3.744649,4.957862
1.052236,1.745687,3.509676,3.740320,4.953419
1.057567,1.754955,3.511898,3.742113,4.953815
1.056768,1.759534,3.511427,3.741359,4.952235
1.047505,1.757717,3.507250,3.737098,4.947926
1.053018,1.766636,3.509520,3.738961,4.948458
1.052382,1.770892,3.509097,3.738277,4.947012
1.043258,1.768785,3.504966,3.734083,4.942833
1.048934,1.777376,3.507286,3.736017,4.943498
1.048444,1.781328,3.506911,3.735402,4.942181
1.039445,1.778948,3.502826,3.731274,4.938127
1.045267,1.787232,3.505194,3.733277,4.938919
1.044906,1.790901,3.504867,3.732728,4.937725
1.036019,1.788267,3.500828,3.728665,4.933790
1.041971,1.796266,3.503244,3.730734,4.934701
1.041727,1.799671,3.502963,3.730250,4.933624
1.032939,1.796801,3.498968,3.726248,4.929802
1.039008,1.804537,3.501429,3.728380,4.930826
1.038868,1.807699,3.501192,3.727956,4.929858
1.030168,1.804611,3.497240,3.724013,4.926142
1.036342,1.812103,3.499745,3.726204,4.927271
1.036294,1.815042,3.499550,3.725838,4.926406
1.027673,1.811753,3.495637,3.721949,4.922788
1.033940,1.819022,3.498183,3.724197,4.924016
1.033975,1.821755,3.498028,3.723884,4.923246
1.025425,1.818281,3.494153,3.720047,4.919720
1.031775,1.825346,3.496737,3.722346,4.921039
1.031884,1.827890,3.496619,3.722084,4.920358
1.023397,1.824246,3.492779,3.718294,4.916917
1.029822,1.831123,3.495399,3.720641,4.918321
1.029997,1.833495,3.495315,3.720426,4.917721
1.021566,1.829695,3.491508,3.716680,4.914359
1.028058,1.836401,3.494162,3.719072,4.915841
1.028292,1.838615,3.494110,3.718900,4.915318
1.019912,1.834673,3.490332,3.715195,4.912028
1.026464,1.841223,3.493017,3.717629,4.913582
1.026751,1.843291,3.492995,3.717496,4.913128
1.018416,1.839220,3.489245,3.713829,4.909906
1.025022,1.845626,3.491959,3.716301,4.911526
1.025357,1.847563,3.491963,3.716205,4.911136
1.013847,1.841096,3.486851,3.711255,4.906941
1.000970,1.832891,3.481170,3.705808,4.902488
1.019832,1.846418,3.489210,3.713418,4.908408
1.024736,1.850058,3.491281,3.715372,4.909904
1.020670,1.847643,3.489554,3.713711,4.908532
1.020776,1.848275,3.489648,3.713775,4.908504
1.020469,1.849423,3.489564,3.713628,4.908179
1.020725,1.851279,3.489605,3.713574,4.907849
1.019634,1.852090,3.488962,3.712869,4.907002
1.019206,1.853293,3.488602,3.712437,4.906381
1.019633,1.855034,3.488647,3.712395,4.906089
1.018566,1.855671,3.488069,3.711767,4.905351
1.018146,1.856694,3.487772,3.711410,4.904841
1.018611,1.858277,3.487854,3.711417,4.904627
1.017594,1.858775,3.487296,3.710818,4.903946
1.017217,1.859680,3.487018,3.710489,4.903486
1.017716,1.861157,3.487122,3.710524,4.903323
1.016728,1.861559,3.486587,3.709955,4.902691
1.016378,1.862373,3.486329,3.709652,4.902277
1.016905,1.863763,3.486451,3.709711,4.902156
1.015944,1.864083,3.485933,3.709165,4.901565
1.015620,1.864819,3.485692,3.708884,4.901190
1.016171,1.866134,3.485830,3.708966,4.901107
1.015233,1.866381,3.485328,3.708441,4.900553
1.014932,1.867047,3.485101,3.708180,4.900212
1.015505,1.868294,3.485254,3.708281,4.900163
1.014587,1.868477,3.484766,3.707774,4.899641
1.014306,1.869079,3.484553,3.707532,4.899333
1.014899,1.870265,3.484719,3.707650,4.899314
1.014000,1.870390,3.484243,3.707161,4.898823
1.013738,1.870936,3.484043,3.706935,4.898543
1.014349,1.872066,3.484221,3.707069,4.898552
1.013466,1.872138,3.483757,3.706595,4.898088
1.013220,1.872632,3.483568,3.706384,4.897835
1.013847,1.873712,3.483757,3.706533,4.897870
1.012980,1.873736,3.483303,3.706073,4.897430
1.012749,1.874183,3.483124,3.705876,4.897200
1.013391,1.875217,3.483323,3.706038,4.897259
1.012538,1.875197,3.482879,3.705591,4.896841
1.012320,1.875602,3.482710,3.705407,4.896634
1.012975,1.876594,3.482918,3.705581,4.896713
1.012134,1.876534,3.482482,3.705146,4.896317
1.011929,1.876900,3.482322,3.704973,4.896129
1.012596,1.877855,3.482538,3.705158,4.896228
1.011766,1.877758,3.482111,3.704734,4.895850
1.011572,1.878088,3.481958,3.704571,4.895681
1.012250,1.879008,3.482182,3.704767,4.895798
1.011431,1.878879,3.481761,3.704352,4.895437
1.011246,1.879177,3.481616,3.704199,4.895285
1.011934,1.880065,3.481847,3.704404,4.895418
1.011125,1.879905,3.481433,3.703998,4.895073
1.010950,1.880174,3.481294,3.703854,4.894936
1.011646,1.881033,3.481531,3.704068,4.895083
1.010845,1.880846,3.481124,3.703670,4.894752
1.010679,1.881087,3.480991,3.703533,4.894629
1.011384,1.881921,3.481234,3.703755,4.894791
1.010590,1.881708,3.480832,3.703365,4.894473
1.010431,1.881925,3.480704,3.703235,4.894363
1.011144,1.882735,3.480953,3.703464,4.894536
1.010357,1.882499,3.480556,3.703081,4.894231
1.010205,1.882693,3.480433,3.702958,4.894132
1.010924,1.883481,3.480686,3.703193,4.894317
1.010145,1.883224,3.480294,3.702816,4.894022
1.009999,1.883398,3.480176,3.702699,4.893934
1.010724,1.884166,3.480434,3.702940,4.894130
1.009950,1.883890,3.480046,3.702569,4.893845
1.009810,1.884046,3.479932,3.702458,4.893767
1.010541,1.884795,3.480194,3.702704,4.893971
1.009772,1.884502,3.479810,3.702338,4.893696
1.009637,1.884640,3.479700,3.702232,4.893626
1.010374,1.885373,3.479965,3.702483,4.893840
1.009610,1.885064,3.479585,3.702122,4.893572
1.009480,1.885186,3.479478,3.702021,4.893511
1.010221,1.885904,3.479747,3.702277,4.893733
1.009461,1.885580,3.479370,3.701920,4.893473
1.009335,1.885689,3.479266,3.701823,4.893419
1.010081,1.886392,3.479538,3.702083,4.893648
1.009325,1.886055,3.479164,3.701729,4.893395
1.009203,1.886151,3.479063,3.701636,4.893348
1.009953,1.886841,3.479338,3.701900,4.893583
1.008938,1.886303,3.478855,3.701445,4.893252
1.009476,1.886687,3.479084,3.701662,4.893425
1.009452,1.886678,3.479071,3.701650,4.893417
1.009451,1.886685,3.479069,3.701648,4.893417
1.009449,1.886692,3.479065,3.701645,4.893416
1.009447,1.886699,3.479062,3.701643,4.893416
1.009445,1.886705,3.479059,3.701640,4.893415
1.009443,1.886712,3.479056,3.701637,4.893415
1.009441,1.886718,3.479053,3.701635,4.893414
1.009439,1.886725,3.479050,3.701632,4.893413
1.009437,1.886732,3.479047,3.701629,4.893413
1.009435,1.886738,3.479044,3.701626,4.893412
1.009433,1.886745,3.479041,3.701624,4.893411
1.009432,1.886751,3.479038,3.701621,4.893411
1.009430,1.886758,3.479035,3.701618,4.893410
1.009428,1.886764,3.479032,3.701616,4.893410
1.009426,1.886771,3.479029,3.701613,4.893409
1.009424,1.886777,3.479026,3.701610,4.893408
1.009422,1.886784,3.479023,3.701608,4.893408
1.009420,1.886790,3.479020,3.701605,4.893407
1.009418,1.886797,3.479017,3.701602,4.893407
